Label,Topic,Title,Original_Title,From,Link,,,,,,,,,,,0,1,2,3,4,5,6,7,8
Dialogue,0,,Master Mingnian | It takes peace to move on | From Radio 20: Only Love Stays,Master Minh Niem,https://www.youtube.com/watch?v=7UWiVL7t3kA&list=PLB3AN992HWI6VSq1TvCwVfgElWV-uPLpH,,,,,,,,,,,Heal,Family,Relax,Light exercise,Meditation,adviser,Life style,Sleep,book
Dialogue,0,, Master Mingnian | What does life need from us? | Radio Quote 19: Only Love Stays,Master Minh Niem,https://www.youtube.com/watch?v=BO1RYoEuluQ&list=PLB3AN992HWI6VSq1TvCwVfgElWV-uPLpH&index=2,,,,,,,,,,,Chữa lành,Gia đình,Giải trí,Thể dục nhẹ,Thiền,Cố vấn,Cuộc sống,Ngủ,Sách
Dialogue,0,," Master Mingnian | The Thermal Mindhttps://www.youtube.com/watch?v=kYXsI57HlsQ&list=PLB3AN992HWI6VSq1TvCwVfgElWV-uPLpH&index=3m color, the magical world | Radio Quote 18: CTTOL",Master Minh Niem,https://www.youtube.com/watch?v=kYXsI57HlsQ&list=PLB3AN992HWI6VSq1TvCwVfgElWV-uPLpH&index=3,,,,,,,,,,,69,12,231,100,47,112,148,148,
Dialogue,0,,Master Minh Niem | What did I come to this life for? | Quote from Radio 17: Only Love Remains,Master Minh Niem,https://www.youtube.com/watch?v=FTR2hQvhoE&list=PLB3AN992HWI6VSq1TvCwVfgElWV-uPLpH&index=4,,,,,,,,,,,,,,,,,,,
Dialogue,0,,Master Minh Niem | The fastest growth must come from hardship | Excerpt from Radio 16: CTTOL,Master Minh Niem,https://www.youtube.com/watch?v=bHONe6RlkBE&list=PLB3AN992HWI6VSq1TvCwVfgElWV-uPLpH&index=5,,,,,,,,,,,,,,,,,,,
Dialogue,0,,Master Minh Niem | Medicine also needs inner strength and new faith to shine | Excerpt from Radio 15: CTTOL,Master Minh Niem,https://www.youtube.com/watch?v=jYAxeHKYOqg&list=PLB3AN992HWI6VSq1TvCwVfgElWV-uPLpH&index=6,,,,,,,,,,,,,,,,,,,
Dialogue,0,,Master Minh Niem | Let faith and hope always shine | Quote from Radio 14: Only Love Remains,Master Minh Niem,https://www.youtube.com/watch?v=6BGomacTkGo&list=PLB3AN992HWI6VSq1TvCwVfgElWV-uPLpH&index=7,,,,,,,,,,,,,,,,,,,
Dialogue,0,,Master Minh Niem | Only overcoming oneself can repel adversity | Excerpt from Radio 13: CTTOL,Master Minh Niem,https://www.youtube.com/watch?v=sSMxlHY5WM4&list=PLB3AN992HWI6VSq1TvCwVfgElWV-uPLpH&index=8,,,,,,,,,,,,,,,,,,,
Dialogue,0,,Master Minh Niem | Support each other in many ways | Quote from Radio 12: Only Love Remains,Master Minh Niem,https://www.youtube.com/watch?v=WZn_cmKNqU4&list=PLB3AN992HWI6VSq1TvCwVfgElWV-uPLpH&index=9,,,,,,,,,,,,,,,,,,,
Dialogue,0,,Master Minh Niem | True love can conquer all fear | Excerpt from Radio 11: CTTOL,Master Minh Niem,https://www.youtube.com/watch?v=klO2O_RcVw4&list=PLB3AN992HWI6VSq1TvCwVfgElWV-uPLpH&index=10,,,,,,,,,,,,,,,,,,,
Dialogue,0,,Master Minh Niem | Accept to go to | Excerpt from Radio 10: ONLY LOVE STAYS,Master Minh Niem,https://www.youtube.com/watch?v=QsG9oLAYVzM&list=PLB3AN992HWI6VSq1TvCwVfgElWV-uPLpH&index=12,,,,,,,,,,,,,,,,,,,
Dialogue,0,,Master Minh Niem | To have an equal heart | Quote from Radio 9: ONLY LOVE STAYS,Master Minh Niem,https://youtu.be/gxpxUDXg97Y,,,,,,,,,,,,,,,,,,,
Dialogue,0,,"Master Minh Niem | No matter the situation, always be kind | Excerpt from Radio 8: CTTOL",Master Minh Niem,https://www.youtube.com/watch?v=GvnyoUzcch0&list=PLB3AN992HWI6VSq1TvCwVfgElWV-uPLpH&index=13,,,,,,,,,,,,,,,,,,,
Dialogue,0,,Master Minh Niem | Holding grudges in your heart or wanting to be free? | Excerpt from Radio 7: CTTOL,Master Minh Niem,https://youtu.be/_ju344zV85A,,,,,,,,,,,,,,,,,,,
Dialogue,0,,Master Minh Niem | Steadfast in the face of humiliation | Quote from Radio 6: Only Love Remains,Master Minh Niem,https://youtu.be/Hxb0EEtzafM,,,,,,,,,,,,,,,,,,,
Dialogue,0,,Master Minh Niem | Steadfast in the face of humiliation | Quote from Radio 6: Only Love Remains,Master Minh Niem,https://www.youtube.com/watch?v=KVfiXKkJw9M&list=PLB3AN992HWI6VSq1TvCwVfgElWV-uPLpH&index=16,,,,,,,,,,,,,,,,,,,
Dialogue,0,,Master Minh Niem | Protect each other against ups and downs with merit energy | Excerpt from Radio 4: CTTOL,Master Minh Niem,https://www.youtube.com/watch?v=bbxvGlzt4so&list=PLB3AN992HWI6VSq1TvCwVfgElWV-uPLpH&index=17,,,,,,,,,,,,,,,,,,,
Dialogue,0,,Master Minh Niem | The best for each other | Quote from Radio 3: ONLY LOVE STAYS,Master Minh Niem,https://youtu.be/BglT7TKcaP4,,,,,,,,,,,,,,,,,,,
Dialogue,0,,Master Minh Niem | Every generation needs to be deeply understood and loved | Excerpt from Radio 2: CTTOL,Master Minh Niem,https://youtu.be/sI_28OsNPmw,,,,,,,,,,,,,,,,,,,
Dialogue,0,,Master Minh Niem | How to arouse and cultivate loving-kindness? | Excerpt from Radio 1: CTTOL,Master Minh Niem,https://youtu.be/bFTopZbxePc,,,,,,,,,,,,,,,,,,,
Dialogue,1,,COMMITMENT | Radio LEARNING CHILDREN IN LIFE | The first number: Thank You And I'm Sorry,Master Minh Niem,https://www.youtube.com/watch?v=Ob2gWKs4HfE&list=PLB3AN992HWI53-86ueAgDfJhkh4oUlP2A,,,,,,,,,,,,,,,,,,,
Dialogue,1,,COMMITMENT | Radio LEARNING CHILDREN IN LIFE | Number 2: Accept Me No matter what I am,Master Minh Niem,https://www.youtube.com/watch?v=5RPAiLDcPLs,,,,,,,,,,,,,,,,,,,
Dialogue,1,,COMMITMENT | Radio LEARNING CHILDREN IN LIFE | Number 3 | Bend Down Close To Me,Master Minh Niem,https://www.youtube.com/watch?v=DDZb1sf4xm0&list=PLB3AN992HWI53-86ueAgDfJhkh4oUlP2A&index=3,,,,,,,,,,,,,,,,,,,
Dialogue,1,,COMMITMENT | Radio LEARNING CHILDREN IN LIFE | Number 4 | Who Hurts Children The Most?,Master Minh Niem,https://www.youtube.com/watch?v=CnvZO7MKsrc&list=PLB3AN992HWI53-86ueAgDfJhkh4oUlP2A&index=4,,,,,,,,,,,,,,,,,,,
Dialogue,1,,COMMITMENT | Radio LEARNING CHILDREN IN LIFE | Number 5 | Who Raised the Fall?,Master Minh Niem,https://www.youtube.com/watch?v=O9i-vbvHzR4&list=PLB3AN992HWI53-86ueAgDfJhkh4oUlP2A&index=5,,,,,,,,,,,,,,,,,,,
Dialogue,1,,COMMITMENT | Radio LEARNING CHILDREN IN LIFE | Number 6 | Letting go to let the child grow up,Master Minh Niem,https://www.youtube.com/watch?v=30DaVTLQ7ao&list=PLB3AN992HWI53-86ueAgDfJhkh4oUlP2A&index=6,,,,,,,,,,,,,,,,,,,
Dialogue,1,,COMMITMENT | Radio LEARNING CHILDREN IN LIFE | Number 7 | Love You Give Me Wings,Master Minh Niem,https://www.youtube.com/watch?v=m5q4UInHWvk&list=PLB3AN992HWI53-86ueAgDfJhkh4oUlP2A&index=7,,,,,,,,,,,,,,,,,,,
Dialogue,1,,COMMITMENT | Radio LEARNING CHILDREN IN LIFE | Number 8 | If I Fly To Heaven,Master Minh Niem,https://www.youtube.com/watch?v=e8GVOBZ5R_Y&list=PLB3AN992HWI53-86ueAgDfJhkh4oUlP2A&index=8,,,,,,,,,,,,,,,,,,,
Dialogue,1,,COMMITMENT | Radio LEARNING CHILDREN IN LIFE | Number 9 | Special - Vu Lan | Give Me The Most Beautiful Love,Master Minh Niem,https://www.youtube.com/watch?v=1VARKXJziMU&list=PLB3AN992HWI53-86ueAgDfJhkh4oUlP2A&index=9,,,,,,,,,,,,,,,,,,,
Dialogue,1,,COMMITMENT | Radio LEARNING CHILDREN IN LIFE | 10th number | Special Last Number | Making Parents Awake,Master Minh Niem,https://www.youtube.com/watch?v=64jgSS-Lp_U&list=PLB3AN992HWI53-86ueAgDfJhkh4oUlP2A&index=10,,,,,,,,,,,,,,,,,,,
Dialogue,1,,COMMITMENT | Radio LEARNING CHILDREN IN LIFE | Number 11 – Sub-number | Always Have A Magical Side With You,Master Minh Niem,https://www.youtube.com/watch?v=YWeDaoQPqO8&list=PLB3AN992HWI53-86ueAgDfJhkh4oUlP2A&index=11,,,,,,,,,,,,,,,,,,,
Dialogue,1,,COMMITMENT | Radio LEARNING CHILDREN IN LIFE | Number 12 – Sub-number | Going To The Future With You,Master Minh Niem,https://www.youtube.com/watch?v=jBpjz68nyak&list=PLB3AN992HWI53-86ueAgDfJhkh4oUlP2A&index=12,,,,,,,,,,,,,,,,,,,
Dialogue,2,,"Master Minh Niem | Be Present, Relax & Smile | Exercise 1 | Course ""Living Awake & Wisdom""",Master Minh Niem,https://youtu.be/JnKl3qpE_ak,,,,,,,,,,,,,,,,,,,
Dialogue,0,,"Master Minh Niem | The Power of Silence and Listening | Exercise 3 | Course ""Living Awake & Wisdom""",Master Minh Niem,https://youtu.be/o1qqS_xmJtI,,,,,,,,,,,,,,,,,,,
Dialogue,0,,"Master Minh Niem | Natural Breath, Healthy Breath | Exercise 2 | Course ""Living Awake & Wisdom""",Master Minh Niem,https://youtu.be/lDt_3SyjngI,,,,,,,,,,,,,,,,,,,
Dialogue,0,,"Master Minh Niem | Instantly Touch Happiness With Awake Footstep | Exercise 4 | Course ""STT&TT""",Master Minh Niem,https://youtu.be/2gYEUU6wUfw,,,,,,,,,,,,,,,,,,,
Dialogue,0,,"Master Minh Niem | The Power of Awakening Speech | Exercise 5 | Course ""Living Awake & Wisdom""",Master Minh Niem,https://youtu.be/tcCX06jid_E,,,,,,,,,,,,,,,,,,,
Dialogue,0,,"Master Minh Niem | Observe & Accept to Touch the Defilement Nature | Exercise 6 | Course ""STT&TT""",Master Minh Niem,https://youtu.be/A5Zu9Dvw1MA,,,,,,,,,,,,,,,,,,,
Dialogue,0,,"Master Minh Niem | The importance of protecting the Mind | Exercise 7 | Course ""Living Awake & Wisdom""",Master Minh Niem,https://youtu.be/Dw7YN5dokus,,,,,,,,,,,,,,,,,,,
Dialogue,0,,"Master Minh Niem | Seeing life with Inner Eyes | Exercise 8 | Course ""Living Awake & Wisdom""",Master Minh Niem,https://youtu.be/vTtjfvb7f4Y,,,,,,,,,,,,,,,,,,,
Dialogue,0,,"Master Minh Niem | Overcoming suffering by boat of Knowledge | Exercise 9 | Course ""STT&TT",Master Minh Niem,https://youtu.be/GqiD3KANw60,,,,,,,,,,,,,,,,,,,
Dialogue,0,,"Master Minh Niem | The Way of Things & Knowledge in Vipassana meditation | Exercise 10 | Course ""STT&TT",Master Minh Niem,https://youtu.be/ZgsNUUqYNtw,,,,,,,,,,,,,,,,,,,
Dialogue,0,,"Master Minh Niem | Sincerity & Right Mindfulness in Vipassana Meditation | Exercise 11 | Course ""STT&TT",Master Minh Niem,https://youtu.be/RgTdhBUnQog,,,,,,,,,,,,,,,,,,,
Dialogue,0,,"Master Minh Niem | Closer to Wisdom, farther from Self | Exercise 12 | Course ""Living Awake & Wisdom""",Master Minh Niem,https://youtu.be/Cfoz0ROPcwU,,,,,,,,,,,,,,,,,,,
Dialogue,0,,COMMITMENT | Radio Elevate the SOUL | No. 10 - Special: PEACE AFTER THE STORM,Master Minh Niem,https://youtu.be/muzbj5ub04M,,,,,,,,,,,,,,,,,,,
Dialogue,0,,COMMITMENT | Radio Elevate the SOUL | Number 09: GO INSIDE THE PAIN,Master Minh Niem,https://youtu.be/THUhfstVPGQ,,,,,,,,,,,,,,,,,,,
Dialogue,0,,COMMITMENT | Radio Elevate the SOUL | Number 08: DON'T MISS ONE BETWEEN A STORM,Master Minh Niem,https://youtu.be/ZfRlNgdX6ws,,,,,,,,,,,,,,,,,,,
Dialogue,0,,COMMITMENT | Radio Elevate the SOUL | No. 07: LOVE THE DEADLY PEOPLE,Master Minh Niem,https://youtu.be/bkoQqb6kWaM,,,,,,,,,,,,,,,,,,,
Dialogue,0,,"COMMITMENT | Radio Elevate the SOUL | No. 06: LOVE, DON'T HIT each other",Master Minh Niem,https://youtu.be/-gqYRqPYCoo,,,,,,,,,,,,,,,,,,,
Dialogue,0,,COMMITMENT | Radio Elevate the SOUL | Number 05: DON'T BELIEVE IN DESCRIPTION!,Master Minh Niem,https://youtu.be/TgYMIDYpjcU,,,,,,,,,,,,,,,,,,,
Dialogue,0,,COMMITMENT | Radio Elevate the SOUL | Number 04: NEED A RED Lifting Hand,Master Minh Niem,https://youtu.be/B-a0Fy2szAI,,,,,,,,,,,,,,,,,,,
Dialogue,0,,COMMITMENT | Radio Elevate the SOUL | Special number 03 Vu Lan: PLEASE LEAVE ME WITH A HEALTHY HEART,Master Minh Niem,https://youtu.be/Ptxv54amj24,,,,,,,,,,,,,,,,,,,
Dialogue,0,,COMMITMENT | Radio Elevate the SOUL | Number 02: POOR MY Wound,Master Minh Niem,https://youtu.be/68FMjEbt3Ls,,,,,,,,,,,,,,,,,,,
Dialogue,0,,COMMITMENT | Radio Elevate the SOUL | The first number: ABOUT HEARING CHANGES IN THE WORD,Master Minh Niem,https://youtu.be/ZBSDdwzKRZw,,,,,,,,,,,,,,,,,,,
