Label,Question,Question_tokens,Answer,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
1.0,"because i saw that he was developing normally, i was not too worried, thinking that he was hyperactive during the day, repeating the same actions as the doctor explained when i went to the doctor during the day. he cried and shouted again, i tried comforted me, sometimes i was too angry to wake me up, but i yelled louder for about 10 minutes and then started to feed again. sleep. doctor, do you have a nervous breakdown? if i want to be examined, where should i take my child to be examined? my son is now eating normally and in good health.",saw develop normal worri think hyperact day repeat action doctor explain went doctor day cri shout tri comfort angri wake yell louder minut start feed sleep doctor nervou breakdown want examin child examin son eat normal good health,"Thus, up to this point, the baby has had 2 episodes of sleep disturbance. According to you, these unusual behaviors that take place while the baby sleeps shows that the baby has nightmares that make him extremely scared. You shouldn't spank your baby's bottom to wake him up, as you're unknowingly adding another act of violence to him. You can book a psychological examination for your baby at the Department of Psychology, Children's Hospital 1 (Tel: (08) 9271119). Meanwhile, you should monitor the previous 2 times, if there are any sleep disturbances, are there any events that make the baby panic? Does your child play games or watch superhero movies? Is anyone shy or let their children watch ghost movies? Do children and adults watch movies with violent scenes? Does family education use threats, scolding, and beating children when they are not satisfied with their parents? Is the child forced to eat when he refuses to eat? It is necessary to explore those factors to find out the causes of stress and fear in children and find ways to reassure them so that they can sleep better.",,,,,,,,,,,,,,,,,,,,
1.0,"since then, the child has been going to school normally, eating and growing well. but for some reason, i took him to school in the last few days, when he entered the class, he nagged and didn't want to go to school, causing the teacher to carry him into the class, so i explained. give him everything. the reason why he doesn't go to school but he still refuses to go to class.",child go school normal eat grow reason took school day enter class nag nt want school caus teacher carri class explain reason nt school refus class,"In the principles of raising and educating children, if children are happy to cooperate with adults, it is a sign that adults help children develop well. Conversely, if the child feels distressed and rebellious, the cause needs to be investigated. Don't know if your child can speak yet? If the child is already talking, parents should listen to the child's concerns about going to school. Maybe the child has a bad relationship with the teacher or friends, is punished or threatened in some way that does not dare to speak out. Therefore, parents should stay close to their children, help them express their difficulties through words, games, pictures to find out the reasons why children are afraid to go to school.",,,,,,,,,,,,,,,,,,,,
1.0,post-covid 19 anxiety,postcovid anxieti,"Anxiety is considered one of the more persistent symptoms of Post-COVID syndrome (PCS). Post-COVID-19 anxiety has symptoms similar to those of the following disorders: Generalized anxiety disorder (GAD), obsessive-compulsive disorder (OCD), post-traumatic stress disorder (PTSD), attacks panic.",,,,,,,,,,,,,,,,,,,,
1.0,causes of post-covid-19 anxiety disorder,caus postcovid anxieti disord,"Pre-existing anxiety with COVID-19, about 8%; social isolation during illness; Long hospital stay; Stigma by people around patients with SARS-CoV-2; Fear of infecting others; Not sure there is a cure for COVID-19.",,,,,,,,,,,,,,,,,,,,
1.0,symptoms of post-covid-19 anxiety disorder,symptom postcovid anxieti disord,Symptoms of anxiety after COVID-19 include: Fear of crowds; difficulty focusing attention; distrust others; mandatory hand washing; afraid to leave his home; increased use of stimulants; irritability or mood swings; take a long time to watch for signs of illness; obsession of dirt; alienating the patient's loved ones…,,,,,,,,,,,,,,,,,,,,
1.0,treating post-covid-19 anxiety disorder,treat postcovid anxieti disord,"Pharmacology, Psychotherapy",,,,,,,,,,,,,,,,,,,,
1.0,"my child always feels irritable, short-tempered and unable to control his emotions after being infected with covid-19. is it a sign of post-covid-19 psychosis?",child feel irrit shorttemp unabl control emot infect covid sign postcovid psychosi,"Covid-19 affects everyone's mental health, so when you have some symptoms, you should see a doctor. For example, some functions such as eating, sleeping, resting... are no longer normal such as: - Difficulty sleeping, not sleeping well, having nightmares, sleeping or waking up in the middle of the night, waking up still feeling. fatigue ... - The most common state is constant fatigue, the body has no energy, no motivation to work, no energy to do anything. - Emotions change, irritable, angry, petty than before, unable to control emotions. - The 4th state is also very common, which is excessive worry, overthinking, distraction leading to not being able to do anything.",,,,,,,,,,,,,,,,,,,,
2.0,"emotional mastery, self development, applied psychology how to adapt to difficult situations in life?",emot masteri self develop appli psycholog adapt difficult situat life,"CONCLUSION “The creature that survives is not the strongest or the most intelligent, but the one that responds best to change.” – Charles Darwin Every situation rarely has a perfect ending, but you can create more enjoyable experiences for yourself by applying the power of adaptation. We are constantly evolving creatures. Do not fight it, but instead embrace the many changes, experiences and lessons that we are learning every day. Release all the limits you have set for yourself. There are countless examples of doing extraordinary things and overcoming great challenges. If you look at what you've been through, I'm sure you'll find some of your own too",,,,,,,,,,,,,,,,,,,,
2.0, what is acceptance?,accept,"In a nutshell, adaptation is your ability to move in a particular direction at any given time. This refers to the physical, mental, emotional or spiritual. Adaptation is the willingness to learn, to make mistakes, and to learn more. Adaptability is the ability to gather the amount of feedback needed to adjust or change a person's behavior to produce positive and effective results. Most of us approach new situations with a system of prejudices, including what we think is possible. This prejudice can be rooted in personal experience, the experience of others, or simply from false beliefs. We then form rules about what happens based on these beliefs, and those laws often influence our choices and actions. Whether it's changing our diet, starting a relationship or taking on a new job, we approach each situation with a set of expectations, demands, and wants. Expectation: what we think will happen Demand: what we really need to happen Desire: what we want to happen The power to adapt to any situation in life lies in understanding expectations, requirements and expectations. ask and what our desires really are. It's all about bridging the gap between the risks we see when things are changing and the opportunities we want to seize from them.",,,,,,,,,,,,,,,,,,,,
2.0,why are we very poorly adapted sometimes?,poorli adapt,"It often requires you to stop clinging to the present and step out of your comfort zone or break old habits. That sweet comfort zone helps reduce stress and anxiety and prevents us from taking risks. In fact, this isn't all that bad since we all need to go to our comfort zones from time to time (like familiar foods like soup on a cold day, for example). There's nothing wrong with living in your comfort zone for the rest of your life. It's safe, secure, and I can't blame you. In fact, you can stop reading here if you want. The rest probably won't be of much use to you. However, if you are intending to continuously grow, challenge yourself, and experience a bit of discomfort, then read on. For anyone who wants to be the best version of themselves, what you need is the ability to embrace the uncertainty that comes when we step out of our comfort zones and learn to adapt to change. .",,,,,,,,,,,,,,,,,,,,
